GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Commons Testing,net.trajano.commons.testing,ResourceUtil,176,185,24,16,10,41,16,15,0,11
Commons Testing,net.trajano.commons.testing,UtilityClassTestUtil,0,131,1,13,0,23,1,12,0,6
Commons Testing,net.trajano.commons.testing,DisableSslCertificateCheckUtil,9,67,0,4,2,26,0,7,0,5
Commons Testing,net.trajano.commons.testing,EqualsTestUtil,110,108,7,11,9,23,7,7,0,5
Commons Testing,net.trajano.commons.testing.internal,NullHostnameVerifier,0,5,0,0,0,2,0,2,0,2
Commons Testing,net.trajano.commons.testing.internal,NullX509TrustManager,0,8,0,0,0,4,0,4,0,4
